Index,Name,Area,Review_Date,Rating_attribute,Rating(Out of 10),Review_Text,Review_Year,Review_Month,Cleaned_Review_Text,tokenized_review,sent_token_length,Sentiment_Label,Sentiment_Score
0,Hotel The Pearl,"Paharganj, New Delhi",2023-07-01,Best budget friendly hotel,9.0,"Hotel the pearl is perfect place to stay in Delhi Paharganj. whole staff are very helpful, informative. Rooms are clean and comfortable. The hotel's location was very convenient, and we had a truly wonderful stay.. Most recommended..",2023,7,hotel pearl perfect place stay delhi paharganj whole staff helpful informative room clean comfortable hotel location convenient truly wonderful stay recommended,"Hotel the pearl is perfect place to stay in Delhi Paharganj . whole staff are very helpful , informative . Rooms are clean and comfortable . The hotel ' s location was very convenient , and we had a truly wonderful stay . . Most recommended . .",48,5 stars,0.7652626037597656
1,Hotel The Pearl,"Paharganj, New Delhi",2023-08-01,Amazing place,9.0,Location of the hotel is perfect. The hotel is peaceful and nice. The staff is very kind and nice rooms. I recommend this hotel..,2023,8,location hotel perfect hotel peaceful nice staff kind nice room recommend hotel,Location of the hotel is perfect . The hotel is peaceful and nice . The staff is very kind and nice rooms . I recommend this hotel . .,29,5 stars,0.616702675819397
2,Hotel The Pearl,"Paharganj, New Delhi",2023-08-01,Overall good stay. Economic.,9.0,"Location, Indian food.",2023,8,location indian food,"Location , Indian food .",5,3 stars,0.2778441607952118
3,Hotel The Pearl,"Paharganj, New Delhi",2023-08-01,Lovely,9.0,"The location and the hotel itself is great. Next time I will stay here. Nice rooms with comfortable beds. good attitude of staff, they are helpful and explain you everything you ask them.",2023,8,location hotel great next time stay nice room comfortable bed good attitude staff helpful explain everything ask,"The location and the hotel itself is great . Next time I will stay here . Nice rooms with comfortable beds . good attitude of staff , they are helpful and explain you everything you ask them .",38,5 stars,0.4603966176509857
4,Hotel The Pearl,"Paharganj, New Delhi",2023-08-01,Great hotel Great staff and great staying,9.0,"Friendly and smiling staffs.. The reception staff are so excellent and ready to help me any time, location is fantastic near all the attractions, room was big and comfortable..",2023,8,friendly smiling staff reception staff excellent ready help time location fantastic near attraction room big comfortable,"Friendly and smiling staffs . . The reception staff are so excellent and ready to help me any time , location is fantastic near all the attractions , room was big and comfortable . .",35,5 stars,0.6779714226722717
5,Hotel The Pearl,"Paharganj, New Delhi",2023-08-01,Appreciate the behaviour of all the staff,9.0,"The location was really perfect.. we really enjoyed the hotel. Clean and comfortable rooms, awesome breakfast, great staff. Would totally recommend this hotel.. i really liked the place..",2023,8,location really perfect really enjoyed hotel clean comfortable room awesome breakfast great staff would totally recommend hotel really liked place,"The location was really perfect . . we really enjoyed the hotel . Clean and comfortable rooms , awesome breakfast , great staff . Would totally recommend this hotel . . i really liked the place . .",38,5 stars,0.7550141215324402
6,Hotel The Pearl,"Paharganj, New Delhi",2023-08-01,Awesome hotel with good facility,9.0,"Nice cosy room. well maintained and clean room, bathroom was cleaned and bad was comfortable. staffs were very friendly and service were excellent. Definitely will come back to stay here..",2023,8,nice cosy room well maintained clean room bathroom cleaned bad comfortable staff friendly service excellent definitely come back stay,"Nice cosy room . well maintained and clean room , bathroom was cleaned and bad was comfortable . staffs were very friendly and service were excellent . Definitely will come back to stay here . .",36,5 stars,0.62700355052948
7,Hotel The Pearl,"Paharganj, New Delhi",2023-08-01,All the services was good,9.0,"We can say that we had an amazing experience. all the staff members are amazing, friendly, supportive. all good in this hotel. The room was actually awesome and wonderful service by the hotel management.. thanks for this best hospitality..",2023,8,say amazing experience staff member amazing friendly supportive good hotel room actually awesome wonderful service hotel management thanks best hospitality,"We can say that we had an amazing experience . all the staff members are amazing , friendly , supportive . all good in this hotel . The room was actually awesome and wonderful service by the hotel management . . thanks for this best hospitality . .",48,5 stars,0.8308011889457703
8,Hotel The Pearl,"Paharganj, New Delhi",2023-08-01,wonderful and well maintained hotel,9.0,"We love the hotel, again come back to the hotel soon. the staff is very welcoming and friendly. food was awesome best quality, service was exceptional, there was absolutely no issue and satisfactory results.. Stay was great..",2023,8,love hotel come back hotel soon staff welcoming friendly food awesome best quality service exceptional absolutely issue satisfactory result stay great,"We love the hotel , again come back to the hotel soon . the staff is very welcoming and friendly . food was awesome best quality , service was exceptional , there was absolutely no issue and satisfactory results . . Stay was great . .",46,5 stars,0.8556814193725586
9,Hotel The Pearl,"Paharganj, New Delhi",2023-08-01,Good on all aspects,8.0,Nice hotel with comfortable stay.. I would highly recommend it. the service from the staff was excellent and the facilities and breakfast were also great. i would stay here again!,2023,8,nice hotel comfortable stay would highly recommend service staff excellent facility breakfast also great would stay,Nice hotel with comfortable stay . . I would highly recommend it . the service from the staff was excellent and the facilities and breakfast were also great . i would stay here again !,35,5 stars,0.6111273169517517
10,Hotel Grand Park Inn,"Karol bagh, New Delhi",2023-06-01,"Great room, great sense of service",10.0,"- I felt safe.
- Staff has been pleasantly and quickly responsive before we came at the hotel as much as during the stay. Great sense of service and you get what's shown/told  (which to be honest has been rarely the case in india from my own experience).
- Good location - near the metro and the karol bagh market without being completely in the congested streets (but the area still gets crowded during busy hours of the day making it difficult to even walk around the area which could be a bit overwhelming).
- Rooms : clean and spacious (we took a triple bed room), quiet. There is a lift for heavy luggage and/or staff is happy to help as well to bring your stuff to the room. - there is a separation between the ""showering space"" and the toilets (hallelujah! So you don't have to walk wet feet in the bathroom - this is a detail but luxury point which is pleasant) :) 
- wifi works well
- food facility is there - food is good",2023,6,felt safe staff pleasantly quickly responsive came hotel much stay great sense service get whats showntold honest rarely case india experience good location near metro karol bagh market without completely congested street area still get crowded busy hour day making difficult even walk around area could bit overwhelming room clean spacious took triple bed room quiet lift heavy luggage andor staff happy help well bring stuff room separation showering space toilet hallelujah dont walk wet foot bathroom detail luxury point pleasant wifi work well food facility food good,"- I felt safe . 
 - Staff has been pleasantly and quickly responsive before we came at the hotel as much as during the stay . Great sense of service and you get what ' s shown / told ( which to be honest has been rarely the case in india from my own experience ) . 
 - Good location - near the metro and the karol bagh market without being completely in the congested streets ( but the area still gets crowded during busy hours of the day making it difficult to even walk around the area which could be a bit overwhelming ) . 
 - Rooms : clean and spacious ( we took a triple bed room ) , quiet . There is a lift for heavy luggage and / or staff is happy to help as well to bring your stuff to the room . - there is a separation between the "" showering space "" and the toilets ( hallelujah ! So you don ' t have to walk wet feet in the bathroom - this is a detail but luxury point which is pleasant ) : ) 
 - wifi works well 
 - food facility is there - food is good",205,4 stars,0.6028631329536438
11,Hotel Grand Park Inn,"Karol bagh, New Delhi",2023-08-01,Its good property. Rooms are spacious and clean. Staff are very cooperative,8.0,It's good stay. Staff are very cooperative.  Good cleaning. Required variety in breakfast.,2023,8,good stay staff cooperative good cleaning required variety breakfast,It ' s good stay . Staff are very cooperative . Good cleaning . Required variety in breakfast .,19,4 stars,0.5834869146347046
12,Hotel Grand Park Inn,"Karol bagh, New Delhi",2023-06-01,"Stay was nice. We, as seven member family enjoyed it.",8.0,"Breakfast was good, but we couldn't take it every day as we were out. Food other than bf was also excellent & tasty. The reception & staff are also very helpful and cooperative.",2023,6,breakfast good couldnt take every day food bf also excellent tasty reception staff also helpful cooperative,"Breakfast was good , but we couldn ' t take it every day as we were out . Food other than bf was also excellent & tasty . The reception & staff are also very helpful and cooperative .",39,5 stars,0.5051195621490479
13,Hotel Grand Park Inn,"Karol bagh, New Delhi",2023-05-01,"the staff was helpful, quick and responsive",7.0,the staff was good and accommodating,2023,5,staff good accommodating,the staff was good and accommodating,6,4 stars,0.5620603561401367
14,Hotel Grand Park Inn,"Karol bagh, New Delhi",2023-01-01,Very good,8.0,It was very comfortable,2023,1,comfortable,It was very comfortable,4,4 stars,0.4460418224334717
15,Hotel Grand Park Inn,"Karol bagh, New Delhi",2022-12-01,Pleasant,6.0,staff service was good,2022,12,staff service good,staff service was good,4,4 stars,0.5368727445602417
16,Hotel Grand Park Inn,"Karol bagh, New Delhi",2022-11-01,Good,7.0,The hotel staff is very good.,2022,11,hotel staff good,The hotel staff is very good .,7,4 stars,0.5215901136398315
17,Hotel Grand Park Inn,"Karol bagh, New Delhi",2022-11-01,Very good,8.0,cleanliness,2022,11,cleanliness,cleanliness,1,5 stars,0.37422478199005127
18,Hotel Grand Park Inn,"Karol bagh, New Delhi",2022-10-01,Good Experience,8.0,Good Experience,2022,10,good experience,Good Experience,2,4 stars,0.5123403072357178
19,Hotel Grand Park Inn,"Karol bagh, New Delhi",2022-10-01,Very good,8.0,Overall good with good helping staff. Immediately response when need. Hospitality is good towards the visitors.,2022,10,overall good good helping staff immediately response need hospitality good towards visitor,Overall good with good helping staff . Immediately response when need . Hospitality is good towards the visitors .,19,4 stars,0.6557636260986328
20,FabHotel White Klove Paharganj,"Paharganj, New Delhi",2022-05-01,Exceptional,10.0,Zunaid was very helpful with service. He has been helpful on every trip and stay at White Klove. Front dest Azar is also very professional.,2022,5,zunaid helpful service helpful every trip stay white klove front dest azar also professional,Zunaid was very helpful with service . He has been helpful on every trip and stay at White Klove . Front dest Azar is also very professional .,28,5 stars,0.6449251770973206
21,FabHotel White Klove Paharganj,"Paharganj, New Delhi",2023-07-01,Very good,8.0,It's just need little more cleaning in room,2023,7,need little cleaning room,It ' s just need little more cleaning in room,10,3 stars,0.36907216906547546
22,FabHotel White Klove Paharganj,"Paharganj, New Delhi",2023-07-01,Stay was good And comfortable.,7.0,Cleanliness and staff behaviour,2023,7,cleanliness staff behaviour,Cleanliness and staff behaviour,4,4 stars,0.38738784193992615
23,FabHotel White Klove Paharganj,"Paharganj, New Delhi",2023-06-01,Fab hotel,8.0,"Large room, comfortable bed, great room service. Large washroom, great shower",2023,6,large room comfortable bed great room service large washroom great shower,"Large room , comfortable bed , great room service . Large washroom , great shower",15,5 stars,0.6394712328910828
24,FabHotel White Klove Paharganj,"Paharganj, New Delhi",2023-06-01,Good,7.0,No fuss property. Staff was cooperative and ready to help.,2023,6,fuss property staff cooperative ready help,No fuss property . Staff was cooperative and ready to help .,12,5 stars,0.4580892324447632
25,FabHotel White Klove Paharganj,"Paharganj, New Delhi",2023-06-01,Superb,9.0,"Normal room, but sheets and pillows had marks from previous guests on them. Unexceptable, they need to make sure to put in new sheets rather than use old ones that are marked. Other than that the stay was good tho, the staff were great and the food was really good",2023,6,normal room sheet pillow mark previous guest unexceptable need make sure put new sheet rather use old one marked stay good tho staff great food really good,"Normal room , but sheets and pillows had marks from previous guests on them . Unexceptable , they need to make sure to put in new sheets rather than use old ones that are marked . Other than that the stay was good tho , the staff were great and the food was really good",55,4 stars,0.4356749653816223
26,FabHotel White Klove Paharganj,"Paharganj, New Delhi",2023-05-01,Very good,8.0,Cleanliness and cordial relation maintained by staff,2023,5,cleanliness cordial relation maintained staff,Cleanliness and cordial relation maintained by staff,7,4 stars,0.46929726004600525
27,FabHotel White Klove Paharganj,"Paharganj, New Delhi",2023-05-01,Very good,8.0,Very nice hotel and good service,2023,5,nice hotel good service,Very nice hotel and good service,6,4 stars,0.4927281439304352
28,FabHotel White Klove Paharganj,"Paharganj, New Delhi",2023-05-01,Good,7.0,really well located for sightseeing. Paharganj is also quite an experience in itself.,2023,5,really well located sightseeing paharganj also quite experience,really well located for sightseeing . Paharganj is also quite an experience in itself .,15,5 stars,0.617565929889679
30,Hotel Mannat international by Mannat,"Paharganj, New Delhi",2021-12-01,Feeling at home in Delhi!,10.0,"Mr. Sanjay ad shibu and his staff will made you feel at home with all their hospitality, sympathy and always trying to help you for everything you need from the stay at the hotel until tours, trains, buses, money changer, everything!!!",2021,12,mr sanjay ad shibu staff made feel home hospitality sympathy always trying help everything need stay hotel tour train bus money changer everything,"Mr . Sanjay ad shibu and his staff will made you feel at home with all their hospitality , sympathy and always trying to help you for everything you need from the stay at the hotel until tours , trains , buses , money changer , everything ! ! !",50,5 stars,0.42455318570137024
31,Hotel Mannat international by Mannat,"Paharganj, New Delhi",2023-08-01,Good room for good price,9.0,"Personals are good and help you if needed.
Not a lot of noise in our room.
AC working.",2023,8,personal good help needed lot noise room ac working,"Personals are good and help you if needed . 
 Not a lot of noise in our room . 
 AC working .",21,4 stars,0.49476996064186096
32,Hotel Mannat international by Mannat,"Paharganj, New Delhi",2023-08-01,Good to stay there,7.0,Everything there was excellent.,2023,8,everything excellent,Everything there was excellent .,5,5 stars,0.8184179663658142
33,Hotel Mannat international by Mannat,"Paharganj, New Delhi",2023-08-01,Very good,8.0,"Very friendly and helpful staff, good value for money",2023,8,friendly helpful staff good value money,"Very friendly and helpful staff , good value for money",10,4 stars,0.4630017876625061
34,Hotel Mannat international by Mannat,"Paharganj, New Delhi",2023-08-01,Recommendable!,9.0,The place was 10 minutes walking from metro station. The staff was great. Breakfast was for room service and its okay. The district seems dangerous but it was not a problem after the first day :) Kfc and Dominos is near. Best A/C that I saw in India.,2023,8,place minute walking metro station staff great breakfast room service okay district seems dangerous problem first day kfc domino near best ac saw india,The place was 10 minutes walking from metro station . The staff was great . Breakfast was for room service and its okay . The district seems dangerous but it was not a problem after the first day : ) Kfc and Dominos is near . Best A / C that I saw in India .,56,4 stars,0.4328879714012146
35,Hotel Mannat international by Mannat,"Paharganj, New Delhi",2023-06-01,Very good,8.0,Osm,2023,6,osm,Osm,1,5 stars,0.34365642070770264
36,Hotel Mannat international by Mannat,"Paharganj, New Delhi",2023-07-01,Good,8.0,"Beds are confortable, price quality is good. Clean space, food was good. Big room.",2023,7,bed confortable price quality good clean space food good big room,"Beds are confortable , price quality is good . Clean space , food was good . Big room .",19,4 stars,0.5643412470817566
37,Hotel Mannat international by Mannat,"Paharganj, New Delhi",2023-07-01,"Great value, good overall experience",9.0,Helpful travel desk at reception!,2023,7,helpful travel desk reception,Helpful travel desk at reception !,6,5 stars,0.4543081223964691
38,Hotel Mannat international by Mannat,"Paharganj, New Delhi",2023-06-01,"Well connected, close to the Railway station, and professional staff",8.0,"There is confusion regarding the location of the hotel when one searches on Google Maps. But, the actual location of the hotel is well connected to the road. So, please make sure to identify the right location before checking-in. :D",2023,6,confusion regarding location hotel one search google map actual location hotel well connected road please make sure identify right location checkingin,"There is confusion regarding the location of the hotel when one searches on Google Maps . But , the actual location of the hotel is well connected to the road . So , please make sure to identify the right location before checking - in . : D",48,3 stars,0.2918488681316376
39,Hotel Mannat international by Mannat,"Paharganj, New Delhi",2023-07-01,Superb,9.0,Very helpful and friendly staff. Spacious and clean rooms. 24 hour check in so checked in at 7am!,2023,7,helpful friendly staff spacious clean room hour check checked,Very helpful and friendly staff . Spacious and clean rooms . 24 hour check in so checked in at 7 am !,22,5 stars,0.5374553799629211
